2018年 医 保 药 品 目 录,,,,,,,,,,,,
,,,,,,,,,,,,,
序号,医保药品名称,目录类别,目录剂型,目录等级,工伤目录,生育目录,医疗目录,非处方用药,限制范围,普通人员支付类型,特殊人群支付类型,居民支付类型
823,雷公藤多苷,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
824,硫唑嘌呤,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
825,吗替麦考酚酯(限器官移植),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限器官移植,先支付10%,无先支付,先支付10%
826,吗替麦考酚酯,西药,口服液体剂,乙类,属于,属于,属于,非处方用药,限器官移植,先支付10%,无先支付,先支付10%
827,麦考酚钠(限器官移植),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限器官移植,先支付20%,无先支付,先支付20%
828,咪唑立宾(限器官移植),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限器官移植,先支付20%,无先支付,先支付20%
829,他克莫司,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
830,他克莫司,西药,缓释控释剂型,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
831,西罗莫司(限器官移植),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限器官移植,先支付20%,无先支付,先支付20%
832,西罗莫司(限器官移植),西药,口服液体剂,乙类,属于,属于,属于,处方用药,限器官移植,先支付20%,无先支付,先支付20%
833,抗人T细胞兔免疫球蛋白,西药,注射剂,乙类,属于,属于,属于,非处方用药,限器官移植排斥反应高危人群的诱导治疗；急性排斥反应的治疗；重型再生障碍性贫血,先支付20%,无先支付,先支付20%
834,兔抗人胸腺细胞免疫球蛋白,西药,注射剂,乙类,属于,属于,属于,非处方用药,限器官移植排斥反应高危人群的诱导治疗；急性排斥反应的治疗；重型再生障碍性贫血,先支付20%,无先支付,先支付20%
835,巴利昔单抗,西药,注射剂,乙类,属于,属于,属于,非处方用药,限器官移植的诱导治疗,先支付20%,无先支付,先支付20%
836,吡非尼酮,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限特发性肺纤维化,先支付20%,无先支付,先支付20%
837,乌苯美司,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
838,草分枝杆菌F.U.36,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
839,卡介菌多糖核酸,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
840,α-干扰素,西药,注射剂,乙类,属于,属于,属于,处方用药,限白血病、淋巴瘤、黑色素瘤、肾癌、多发性骨髓瘤、丙肝、慢性活动性乙肝。丙肝、慢性活动性乙肝连续使用,先支付10%,无先支付,先支付10%
841,聚乙二醇干扰素α-2a[α-2b],西药,注射剂,乙类,属于,属于,属于,处方用药,"限丙肝、慢性活动性乙肝,连续使用6个月无效时停药,连续使用不超过12个月",先支付20%,无先支付,先支付20%
842,重组人白介素-2(Ⅰ、125Ala、125Ser),西药,注射剂,乙类,属于,属于,属于,处方用药,限肾细胞癌、黑色素瘤、癌性胸腹腔积液,先支付10%,无先支付,先支付10%
843,重组人白介素-11(酵母),西药,注射剂,乙类,属于,属于,属于,处方用药,限放化疗引起的血小板减少患者在三级医院治疗时使用,先支付20%,无先支付,先支付20%
844,重组人白介素-11[Ⅰ],西药,注射剂,乙类,属于,属于,属于,处方用药,限放化疗引起的严重血小板减少患者,先支付20%,无先支付,先支付20%
845,白芍总苷,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
846,静注人免疫球蛋白(pH4),西药,注射剂,乙类,属于,属于,属于,处方用药,限儿童重度病毒感染和工伤保险,先支付20%,无先支付,先支付20%
847,沙利度胺,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
848,胸腺肽а1(胸腺法新)(限工伤保险),西药,注射剂,乙类,属于,属于,属于,处方用药,限工伤保险,先支付100%,无先支付,先支付100%
849,匹多莫德,西药,口服液体剂,乙类,属于,属于,属于,处方用药,△,先支付30%,无先支付,先支付30%
850,英夫利西单抗(限重度活动性风湿免疫性疾病),西药,注射剂,乙类,属于,属于,属于,处方用药,限重度活动性风湿免疫性疾病,先支付30%,无先支付,先支付30%
851,重组人Ⅱ型肿瘤坏死因子受体-抗体融合蛋白,西药,注射剂,乙类,属于,属于,属于,处方用药,限诊断明确的类风湿关节炎经传统DMARDs治疗3-6个月疾病活动度下降低于50%者；诊断明确的强直性脊柱炎（不含,先支付30%,无先支付,先支付30%
852,胸腺肽,西药,注射剂,乙类,属于,属于,属于,处方用药, ,先支付20%,无先支付,先支付20%
853,小檗胺,西药,口服常释剂型,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
854,阿霉素（多柔比星）,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
855,白消安,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
856,丙卡巴肼,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
857,氮芥,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
858,环磷酰胺,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
859,环磷酰胺,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
860,卡铂,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
861,柔红霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
862,塞替派,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
863,顺铂,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
864,丝裂霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
865,司莫司汀,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
866,阿柔比星,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
867,安吖啶,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
868,奥沙利铂,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
869,白消安(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付5%,无先支付,先支付5%
870,苯丁酸氮芥,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
871,吡柔比星,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
872,表柔比星,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
873,氮甲,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
874,福莫司汀(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付20%,无先支付,先支付20%
875,甲异靛,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
876,卡莫司汀,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
877,六甲蜜胺,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
878,洛铂,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
879,洛莫司汀,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
880,美法仑,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
881,奈达铂,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
882,尼莫司汀,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
883,顺铂氯化钠,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
884,替莫唑胺(限二线用药),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限二线用药,先支付20%,无先支付,先支付20%
885,硝卡芥,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
886,异环磷酰胺,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
887,新福菌素(限恶性肉瘤、妇科恶性肿瘤),西药,注射剂,乙类,属于,属于,属于,处方用药,限恶性肉瘤、妇科恶性肿瘤,先支付20%,无先支付,先支付20%
888,伊达比星,西药,注射剂,乙类,属于,属于,属于,非处方用药,限二线用药,先支付20%,无先支付,先支付20%
889,阿糖胞苷,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
890,氟尿嘧啶,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
891,氟尿嘧啶,西药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
892,氟尿嘧啶,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
893,氟尿嘧啶,西药,其它剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
894,甲氨蝶呤,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
895,甲氨蝶呤,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
896,羟基脲,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
897,替加氟,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
898,达卡巴嗪,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
899,氟达拉滨,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限B细胞慢性淋巴细胞白血病或滤泡淋巴瘤,先支付10%,无先支付,先支付10%
900,氟达拉滨,西药,注射剂,乙类,属于,属于,属于,处方用药,限B细胞慢性淋巴细胞白血病或滤泡淋巴瘤,先支付10%,无先支付,先支付10%
901,氟尿嘧啶氯化钠,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
902,氟尿嘧啶葡萄糖,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
903,吉西他滨,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
904,卡莫氟,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
905,卡培他滨,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
906,硫鸟嘌呤,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
907,米托蒽醌,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
908,巯嘌呤,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
909,去氧氟尿苷(脱氧氟尿苷),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
910,替吉奥,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
911,替加氟,西药,栓剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
912,替加氟(替加氟氯化钠),西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
913,盐酸米托蒽醌葡萄糖,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
914,雷替曲塞(限晚期大肠癌、头颈肿瘤),西药,注射剂,乙类,属于,属于,属于,处方用药,限晚期大肠癌、头颈肿瘤,先支付20%,无先支付,先支付20%
915,卡莫氟,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
916,地西他滨,西药,注射剂,乙类,属于,属于,属于,非处方用药,限高危的骨髓增生异常综合征患者,先支付30%,无先支付,先支付30%
917,培美曲塞,西药,注射剂,乙类,属于,属于,属于,非处方用药,限局部晚期或转移性非鳞状细胞型非小细胞肺癌；恶性胸膜间皮瘤,先支付30%,无先支付,先支付30%
918,放线菌素D,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
919,平阳霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
920,博来霉素,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
921,羟喜树碱,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
922,羟基喜树碱氯化钠,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
923,拓扑替康(托泊替康),西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
924,托泊替康,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
925,伊立替康,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
926,长春新碱,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
927,高三尖杉酯碱,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
928,依托泊苷,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
